Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1973,18226.0,Japan,JPN,109529000,Japan,JPN,4036.377,13078.689295055077,14530.9572,1857818955238.4856,13321.820246734409,66593209.637452416
1974,17765.0,Japan,JPN,111023000,Japan,JPN,4052.26,13403.864888690017,14588.136,1958646075814.6985,13194.947778364147,65971308.787124164
1975,18082.0,Japan,JPN,112413000,Japan,JPN,3870.1890000000003,13729.040482325061,13932.680400000001,2059473196390.9111,13511.766227415847,65349407.93679608
1976,18600.0,Japan,JPN,113679000,Japan,JPN,4011.5890000000004,14054.21607596,14441.720400000002,2160300316967.124,13926.99613827178,64727507.08646784
1977,19230.0,Japan,JPN,114828000,Japan,JPN,4041.8070000000002,14379.39166959494,14550.505200000001,2261127437543.337,14383.38662633544,64105606.23613959
1978,20060.0,Japan,JPN,115879000,Japan,JPN,4209.871,14704.56726322988,15155.535600000001,2361954558119.55,14922.444850080547,63483705.385811344
1979,20982.0,Japan,JPN,116867000,Japan,JPN,4375.224,15029.742856864817,15750.806400000001,2462781678695.762,15479.421701206633,62861804.53548309
1980,21404.0,Japan,JPN,117817000,Japan,JPN,4244.663,15354.918450499757,15280.786799999998,2563608799271.975,15769.126236430464,62239903.685154855
1981,21924.0,Japan,JPN,118733000,Japan,JPN,4185.5509999999995,15680.094044134696,15067.983599999998,2664435919848.188,16095.00624009711,61618002.8348266
1982,22440.0,Japan,JPN,119605000,Japan,JPN,4020.062,16005.269637769636,14472.2232,2765263040424.401,16405.857354493488,60996101.98449837
1983,22805.0,Japan,JPN,120428000,Japan,JPN,4073.3540000000003,16330.445231404576,14664.074400000001,2866090161000.614,16637.27743881151,60374201.13417012
1984,23548.0,Japan,JPN,121189000,Japan,JPN,4421.8240000000005,16655.620825039514,15918.566400000002,2966917281576.826,17018.276472068384,59752300.28384188
1985,24437.0,Japan,JPN,121883000,Japan,JPN,4451.01,16980.79641867456,16023.636,3067744402153.039,17434.262871175575,59130399.433513634
1986,24992.0,Japan,JPN,122509000,Japan,JPN,4456.4929999999995,17305.9720123095,16043.374799999998,3168571522729.252,17696.84226378643,58508498.58318539
1987,25904.0,Japan,JPN,123073000,Japan,JPN,4546.668,17631.147605944436,16368.004799999999,3269398643305.465,18072.58045499281,57886597.73285714
