Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1922,5754.0,France,FRA,39604500,France,FRA,594.9176681,1487.529811065278,206251899240.61606,2036.9820978309722,9.86016781258901e-09,2141.7036051600003
1923,5984.0,France,FRA,39961988,France,FRA,657.7489822000001,1514.7428146762454,209652920069.171,2127.193581091906,9.879672906790607e-09,2367.8963359200006
1924,6661.0,France,FRA,40359568,France,FRA,720.5802963,1542.9700469282177,213167984699.42712,2360.8483084576624,9.899178000992203e-09,2594.08906668
1925,6641.0,France,FRA,40690332,France,FRA,742.7960557,1572.2692849499613,216802927159.28976,2371.618764480633,9.918683095193797e-09,2674.0658005200003
1926,6773.0,France,FRA,40900816,France,FRA,763.3745395,1602.7027793022141,220563986307.43494,2424.1035394691885,9.938188189395394e-09,2748.1483422
1927,6621.0,France,FRA,41047820,France,FRA,779.3471549,1634.3376954714165,224457841567.8927,2383.6416203116605,9.95769328359699e-09,2805.6497576399997
1928,7063.0,France,FRA,41168096,France,FRA,791.3907347,1667.2466087027658,228491652517.82303,2529.2568561134626,9.977198377798584e-09,2849.0066449200003
1929,7508.0,France,FRA,41391944,France,FRA,847.0275077,1701.508059845359,232673102822.08472,2679.8290322184434,9.996703472000181e-09,3049.29902772
1930,7224.0,France,FRA,41662568,France,FRA,856.3571051000001,1737.2071811700253,237010449081.80875,2606.398764126201,1.001620856620178e-08,3082.8855783600006
1931,6751.0,France,FRA,41873056,France,FRA,806.2781296,1774.436402656701,241512575250.38248,2467.584508024659,9.956238009237203e-09,2902.60126656
1932,6311.0,France,FRA,41966604,France,FRA,756.1991541,1813.2962510872246,246189053371.46948,2329.888155556016,9.87141153465e-09,2722.31695476
1933,6757.0,France,FRA,41996672,France,FRA,752.8884201000001,1853.8962564890626,251050211512.89197,2475.899329329953,9.786585060062834e-09,2710.3983123600005
1934,6682.0,France,FRA,42023400,France,FRA,742.1945152000001,1896.355983140541,256107209911.0191,2453.1416821544594,9.70175858547563e-09,2671.9002547200002
1935,6513.0,France,FRA,42030080,France,FRA,736.5143343,1940.8062055754735,261372126507.17166,2398.8222977439273,9.616932110888464e-09,2651.45160348
1936,6765.0,France,FRA,42023400,France,FRA,757.5953877999999,1987.3902539495425,266858053255.94354,2479.851220622896,9.532105636301295e-09,2727.34339608
