Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1977,18599.0,Italy,ITA,55778000,Italy,ITA,1664.3339999999998,5790.218837199212,1043424160274.2275,5636.957355579881,199199513.28396913,5991.6024
1978,19230.0,Italy,ITA,55989000,Italy,ITA,1706.4129999999998,5855.634185618705,1077702100644.359,5781.007548653852,196870400.61796892,6143.086799999999
1979,20275.0,Italy,ITA,56178000,Italy,ITA,1760.0770000000002,5921.04953403818,1111980041014.4763,5989.491704613973,194541287.95196873,6336.277200000001
1980,20959.0,Italy,ITA,56349000,Italy,ITA,1714.861,5986.4648824576725,1146257981384.5935,6116.71870389147,192212175.28596854,6173.4996
1981,21041.0,Italy,ITA,56505000,Italy,ITA,1679.261,6051.880230877148,1180535921754.7107,6139.51413774586,189883062.61996832,6045.3396
1982,21123.0,Italy,ITA,56645000,Italy,ITA,1645.7679999999998,6117.29557929664,1214813862124.828,6161.077221833683,187553949.95396814,5924.764799999999
1983,21345.0,Italy,ITA,56765000,Italy,ITA,1611.125,6182.710927716116,1249091802494.945,6203.12008614348,185224837.28796792,5800.05
1984,21868.0,Italy,ITA,56863000,Italy,ITA,1636.11,6248.126276135608,1283369742865.0623,6287.473920140095,182895724.62196773,5889.996
1985,22469.0,Italy,ITA,56937000,Italy,ITA,1629.6979999999999,6313.541624555084,1317647683235.1794,6376.094022351396,180566611.95596755,5866.9128
1986,23106.0,Italy,ITA,56984000,Italy,ITA,1674.168,6378.956972974576,1351925623605.2969,6461.631105510669,178237499.28996733,6027.0048
1987,23824.0,Italy,ITA,57008000,Italy,ITA,1724.95,6444.372321394052,1386203563975.414,6548.8559629380425,175908386.62396714,6209.820000000001
1988,24743.0,Italy,ITA,57018000,Italy,ITA,1767.404,6509.787669813544,1420481504345.5312,6648.417929356314,173579273.95796692,6362.6544
1989,25454.0,Italy,ITA,57029000,Italy,ITA,1818.205,6575.20301823302,1454759444715.6484,6717.5667946850435,171250161.29196674,6545.538
1990,26003.0,Italy,ITA,57048000,Italy,ITA,1826.273,6640.618366652512,1489037385085.7656,6766.822354155583,168921048.62596655,6574.5828
1991,26570.36,Italy,ITA,57088000,Italy,ITA,1867.588,6706.033715071988,1523315325455.8828,6814.432447614025,166591935.95996633,6723.3168
1992,26960.61,Italy,ITA,57145000,Italy,ITA,1866.3410000000001,6771.44906349148,1557593265826.0,6845.844453751203,164262823.29396614,6718.8276000000005
1993,26902.4,Italy,ITA,57198000,Italy,ITA,1836.477,6836.864411910956,1591871206196.1316,6843.412368262774,161933710.62796593,6611.3172
1994,27668.26,Italy,ITA,57214000,Italy,ITA,1833.098,6902.279760330448,1626149146566.2488,6896.765231978386,159604597.96196574,6599.1528
1995,28666.35,Italy,ITA,57174000,Italy,ITA,1908.485,6967.695108749924,1660427086936.366,6954.848834536761,157275485.29596555,6870.545999999999
1996,29231.28,Italy,ITA,57065000,Italy,ITA,1911.0929999999998,7033.1104571693995,1694705027306.4832,6981.140505919907,154946372.6299647,6879.9348
1997,29960.7,Italy,ITA,56904000,Italy,ITA,1937.9089999999999,7098.525805588892,1728982967676.6003,7010.718882685306,152617259.9639645,6976.4724
1998,30649.63,Italy,ITA,56743000,Italy,ITA,1989.4489999999998,7163.941154008367,1763260908046.7175,7034.739984052355,150288147.2979643,7162.0163999999995
1999,31340.48,Italy,ITA,56656000,Italy,ITA,2052.1929999999998,7229.35650242786,1797538848416.835,7056.737224673048,147959034.6319641,7387.894799999999
2000,32716.98,Italy,ITA,56692000,Italy,ITA,2081.305,7294.771850847335,1831816788786.9521,7092.562160435735,145629921.9659639,7492.697999999999
2001,33511.43,Italy,ITA,56875000,Italy,ITA,2092.001,7360.1871992668275,1866094729157.0693,7107.603728138764,143300809.2999637,7531.203600000001
2002,33780.05,Italy,ITA,57183000,Italy,ITA,2075.237,7425.602547686303,1900372669527.1865,7112.898923698263,140971696.6339635,7470.8532000000005
2003,33917.8,Italy,ITA,57565000,Italy,ITA,2143.203,7491.017896105795,1934650609897.3037,7116.13081997794,138642583.9679633,7715.5308
2004,34472.13,Italy,ITA,57948000,Italy,ITA,2182.1020000000003,7556.433244525271,1968928550267.421,7119.982469002807,136313471.3019631,7855.567200000001
2005,34872.13,Italy,ITA,58281000,Italy,ITA,2184.417,7621.848592944763,2003206490637.538,7120.129925154679,133984358.6359629,7863.9012
2006,35713.8,Italy,ITA,58543000,Italy,ITA,2174.14,7687.263907063887,2037484431007.6555,7115.1510036574355,131655245.9699627,7826.9039999999995
2007,36310.73,Italy,ITA,58748000,Italy,ITA,2133.4410000000003,7561.279733144584,2071762212378.0686,7107.656150372767,129326133.30396251,7680.387600000001
2008,35942.94,Italy,ITA,58922000,Italy,ITA,2103.868,7435.29555922528,2067534623504.8728,7110.734665820712,126997020.63796231,7573.9248
2009,34055.23,Italy,ITA,59106000,Italy,ITA,1964.0929999999998,7309.311385305977,2063307034631.677,7120.342582603673,124667907.97196211,7070.734799999999
2010,34765.94,Italy,ITA,59325000,Italy,ITA,2023.485,7183.327211386673,2059079445758.4814,7118.360226678098,122338795.3059619,7284.545999999999
2011,35151.0,Italy,ITA,59589000,Italy,ITA,1976.4589999999998,7057.34303746737,2054851856885.2856,7114.606047167115,120009682.6399617,7115.252399999999
2012,34068.0,Italy,ITA,59879000,Italy,ITA,1922.6070000000002,6931.358863548066,2050624268012.0898,7119.847541653118,117680569.97396152,6921.385200000001
2013,33094.0,Italy,ITA,60167000,Italy,ITA,1831.611,6805.374689628763,2046396679138.8923,7119.690585241552,115351457.30796131,6593.7996
2014,32829.0,Italy,ITA,60410000,Italy,ITA,1730.776,6679.39051570946,2042169090265.6965,7119.211719286399,113022344.64196111,6230.7936
2015,33118.0,Italy,ITA,60578000,Italy,ITA,1769.0810000000001,6553.406341790156,2037941501392.5007,7120.243358925691,110693231.97596091,6368.691600000001
2016,33419.0,Italy,ITA,60663000,Italy,ITA,1786.273,6427.422167870853,2033713912519.3052,7120.257174511524,108364119.30996071,6430.5828
2017,34027.34,Italy,ITA,60674000,Italy,ITA,1803.876,6301.437993951549,2029486323646.1094,7118.174211419568,106035006.64395988,6493.9536
2018,34364.17,Italy,ITA,60627000,Italy,ITA,1813.671,6175.453820032246,2025258734772.9136,7116.131229394687,103705893.97795968,6529.2156
