En/CapFrance;GDP/CapFrance;ModelFrance;En/CapItaly;GDP/CapItaly;ModelItaly;En/CapNetherlands;GDP/CapNetherlands;ModelNetherlands;En/CapSpain;GDP/CapSpain;ModelSpain;En/CapUnited States;GDP/CapUnited States;ModelUnited States
7.10E-09;0.7884;65.28559321;1.18E-08;2.657036;117.4452796;7.90E-09;0.7857;78.77573122;8.42E-09;1.3681;78.33224988;;;
6.72E-09;0.8266;68.11629739;1.18E-08;2.696061;118.0236282;8.17E-09;0.8273;82.90701313;8.42E-09;1.4008;79.94050194;;;
7.27E-09;0.8705;71.3477543;1.16E-08;2.69024;117.9396564;8.43E-09;0.866;86.73334536;8.43E-09;1.3895;79.386821;;;
7.48E-09;0.8869;72.54851833;1.15E-08;2.766826;118.9811787;8.57E-09;0.8368;83.84790082;8.37E-09;1.4045;80.12130946;;;
7.09E-09;0.906;73.94228913;1.20E-08;2.866635;120.1375623;8.60E-09;0.8837;88.47725478;8.52E-09;1.4237;81.05573394;;;
7.50E-09;0.9428;76.6127423;1.21E-08;2.923128;120.6946767;6.78E-09;0.7701;77.22223217;8.60E-09;1.4308;81.39962939;;;
7.56E-09;0.9881;79.87118856;1.23E-08;2.99607;121.313535;6.50E-09;0.7222;72.43988931;8.50E-09;1.469;83.23447652;;;
8.04E-09;1.0278;82.69872031;1.26E-08;3.064963;121.7974379;6.23E-09;0.6546;65.66637141;8.66E-09;1.5237;85.81560787;;;
8.55E-09;1.0779;86.22668135;1.30E-08;3.134048;122.1881386;5.71E-09;0.6346;63.65860469;8.95E-09;1.6268;90.52708413;;;
8.37E-09;1.0927;87.25982554;1.32E-08;3.271698;122.6985021;4.57E-09;0.4222;42.33694254;9.32E-09;1.7272;94.91433135;;;
8.34E-09;1.1124;88.62836753;1.32E-08;3.351143;122.8395358;3.93E-09;0.4281;42.92720386;9.77E-09;1.8359;99.43156913;;;
8.08E-09;1.1792;93.20983206;1.31E-08;3.378005;122.8630652;6.93E-09;0.7104;71.25930591;9.74E-09;1.9215;102.8133434;;;
8.45E-09;1.2302;96.64284688;1.34E-08;3.39178;122.8705265;8.01E-09;0.8046;80.65483706;1.01E-08;1.995806;105.6208565;;;
8.80E-09;1.2859;100.3240953;1.36E-08;3.447213;122.8695934;8.53E-09;0.8751;87.63044133;1.05E-08;2.032917;106.9779034;;;
9.14E-09;1.333;103.3787059;1.35E-08;3.487213;122.838873;8.46E-09;0.9373;93.73197131;1.01E-08;2.005654;105.9839107;;;
9.47E-09;1.4057;107.9835019;1.34E-08;3.57138;122.6953443;8.34E-09;0.9558;95.53565287;1.06E-08;2.067395;108.2115531;;;
9.61E-09;1.4609;111.3866806;1.31E-08;3.631073;122.5315054;8.83E-09;0.9615;96.09026874;1.10E-08;2.15221;111.1344568;;;
9.74E-09;1.5213;115.0144358;1.29E-08;3.594294;122.6383855;8.79E-09;0.9698;96.89693161;1.13E-08;2.218507;113.3079164;;;
1.03E-08;1.5792;118.3946923;1.20E-08;3.405523;122.87489;8.57E-09;1.0429;103.9491159;1.19E-08;2.311362;116.1873591;;;
1.08E-08;1.6365;121.6433236;1.23E-08;3.476594;122.8494427;8.80E-09;1.101;109.4805044;1.25E-08;2.428486;119.5455132;;;
1.18E-08;1.7352;127.0069283;1.19E-08;3.5151;122.8029809;9.02E-09;1.1678;115.7493179;1.28E-08;2.554954;122.8307176;;;
1.27E-08;1.8187;131.308699;1.16E-08;3.4068;122.8751369;9.93E-09;1.1953;118.2994475;1.34E-08;2.699486;126.1580073;;;
1.31E-08;1.8881;134.7158024;1.10E-08;3.3094;122.7789391;9.83E-09;1.2137;119.9952147;1.38E-08;2.815355;128.5033434;;;
1.39E-08;1.9549;137.8488472;1.03E-08;3.2829;122.7249776;9.58E-09;1.1926;118.0499003;1.38E-08;2.875332;129.607258;;;
1.50E-08;2.0441;141.8062276;1.05E-08;3.3118;122.7832164;9.83E-09;1.2333;121.792018;1.44E-08;2.937186;130.668581;;;
